"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"Deandre Ayton","https://www.nba.com/stats/player/1629028/","POR","https://www.nba.com/stats/team/1610612757/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","7-0","247","Arizona","https://www.nba.com/stats/players/traditional/?College=Arizona","Bahamas","https://www.nba.com/stats/players/traditional/?Country=Bahamas","2018","https://www.nba.com/stats/players/traditional/?DraftYear=2018","1","1","55.0","16.7","11.1","1.6","-8.7","9.6","25.0","21.1","58.7","8.6"
"Dejounte Murray","https://www.nba.com/stats/player/1627749/","ATL","https://www.nba.com/stats/team/1610612737/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-5","180","Washington","https://www.nba.com/stats/players/traditional/?College=Washington","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2016","https://www.nba.com/stats/players/traditional/?DraftYear=2016","1","29","78.0","22.5","5.3","6.4","-2.7","2.1","13.0","25.9","55.5","27.4"
"Delon Wright","https://www.nba.com/stats/player/1626153/","MIA","https://www.nba.com/stats/team/1610612748/traditional","32","https://www.nba.com/stats/players/traditional/?CF=AGE*E*32","6-5","185","Utah","https://www.nba.com/stats/players/traditional/?College=Utah","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2015","https://www.nba.com/stats/players/traditional/?DraftYear=2015","1","20","47.0","4.5","1.8","2.5","1.0","2.5","8.9","12.7","50.5","21.3"
"Deni Avdija","https://www.nba.com/stats/player/1630166/","WAS","https://www.nba.com/stats/team/1610612764/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-9","210","None","https://www.nba.com/stats/players/traditional/?College=None","Israel","https://www.nba.com/stats/players/traditional/?Country=Israel","2020","https://www.nba.com/stats/players/traditional/?DraftYear=2020","1","9","75.0","14.7","7.2","3.8","-6.5","3.6","19.2","19.6","59.7","17.4"
"Dennis Schröder","https://www.nba.com/stats/player/203471/","BKN","https://www.nba.com/stats/team/1610612751/traditional","30","https://www.nba.com/stats/players/traditional/?CF=AGE*E*30","6-1","175","None","https://www.nba.com/stats/players/traditional/?College=None","Germany","https://www.nba.com/stats/players/traditional/?Country=Germany","2013","https://www.nba.com/stats/players/traditional/?DraftYear=2013","1","17","80.0","14.0","3.0","6.1","-2.8","1.5","8.2","20.2","55.0","28.1"
"Dennis Smith Jr.","https://www.nba.com/stats/player/1628372/","BKN","https://www.nba.com/stats/team/1610612751/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-3","205","North Carolina State","https://www.nba.com/stats/players/traditional/?College=North%20Carolina%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2017","https://www.nba.com/stats/players/traditional/?DraftYear=2017","1","9","56.0","6.6","2.9","3.6","-0.1","4.6","10.8","17.4","50.8","27.6"
"Dereck Lively II","https://www.nba.com/stats/player/1641726/","DAL","https://www.nba.com/stats/team/1610612742/traditional","20","https://www.nba.com/stats/players/traditional/?CF=AGE*E*20","7-1","230","Duke","https://www.nba.com/stats/players/traditional/?College=Duke","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2023","https://www.nba.com/stats/players/traditional/?DraftYear=2023","1","12","55.0","8.8","6.9","1.1","5.0","10.6","17.9","12.4","72.8","6.0"
"Dereon Seabron","https://www.nba.com/stats/player/1631220/","NOP","https://www.nba.com/stats/team/1610612740/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-5","180","North Carolina State","https://www.nba.com/stats/players/traditional/?College=North%20Carolina%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","6.0","2.3","1.2","0.8","26.3","2.1","8.2","12.2","44.8","11.6"
"Derrick Jones Jr.","https://www.nba.com/stats/player/1627884/","DAL","https://www.nba.com/stats/team/1610612742/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-6","210","UNLV","https://www.nba.com/stats/players/traditional/?College=UNLV","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","76.0","8.6","3.3","1.0","1.7","4.5","8.9","14.6","59.2","5.5"
"Derrick Rose","https://www.nba.com/stats/player/201565/","MEM","https://www.nba.com/stats/team/1610612763/traditional","35","https://www.nba.com/stats/players/traditional/?CF=AGE*E*35","6-3","200","Memphis","https://www.nba.com/stats/players/traditional/?College=Memphis","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2008","https://www.nba.com/stats/players/traditional/?DraftYear=2008","1","1","24.0","8.0","1.9","3.3","-3.8","1.7","8.9","22.2","54.0","31.0"
