player-name,team,age,height,weight,school,country,GP,PTS,REB,AST,NETRTG,OREB%,DREB,USG%,TS%,AST%
Myisha Hines-Allen,MIN,29,6-1,200,Louisville,USA,40,7.8,4.7,2.6,-8.3,5.6%,20.6%,19.0%,57.3%,24.5%
NaLyssa Smith,IND,24,6-4,185,Baylor,USA,40,10.6,7.1,1.0,-9.0,7.2%,20.6%,19.6%,52.0%,6.7%
Napheesa Collier,MIN,28,6-1,173,Connecticut,USA,34,20.4,9.7,3.4,13.2,6.8%,19.8%,25.8%,56.5%,17.6%
Natasha Cloud,PHO,33,5-10,160,St. Joseph's (PA),USA,38,11.5,4.1,6.9,-3.8,1.4%,10.2%,19.1%,50.8%,34.3%
Natasha Howard,DAL,33,6-2,165,Florida State,USA,27,17.6,6.7,2.9,-9.0,6.3%,16.7%,27.1%,51.0%,16.0%
Natasha Mack,PHO,27,6-3,182,Oklahoma State,USA,40,3.8,5.0,1.1,-4.3,9.6%,21.0%,11.2%,57.8%,12.1%
Natisha Hiedeman,MIN,28,5-8,128,Marquette,USA,40,4.9,1.6,2.4,-0.7,2.6%,7.6%,18.2%,46.9%,26.3%
Naz Hillmon,ATL,24,6-2,190,Michigan,USA,40,5.7,4.8,1.3,0.7,6.9%,15.7%,11.3%,60.0%,10.0%
Nia Coffey,ATL,29,6-1,182,Northwestern,USA,40,3.3,2.4,1.2,-11.6,3.4%,13.1%,15.9%,41.3%,15.4%
Nika Mühl,SEA,23,6-0,156,Connecticut,Croatia,16,0.1,0.6,0.4,-21.8,7.6%,6.3%,12.2%,7.1%,18.9%
Nneka Ogwumike,SEA,34,6-2,190,Stanford,USA,37,16.7,7.6,2.3,9.1,5.8%,17.9%,21.4%,57.8%,12.4%
Nyara Sabally,NYL,25,6-5,204,Oregon,Germany,26,4.9,4.0,0.6,11.7,9.3%,20.4%,13.8%,61.2%,7.0%
Odyssey Sims,LAS,32,5-8,155,Baylor,USA,24,12.6,2.1,5.3,-7.2,2.5%,5.3%,19.5%,56.0%,29.5%
Olivia Nelson-Ododa,CON,24,6-5,176,Connecticut,USA,37,3.4,2.5,0.2,3.7,7.4%,14.8%,14.6%,53.4%,3.3%
Olivia Époupa,MIN,30,5-5,122,None,France,17,0.8,1.1,1.5,7.5,5.4%,13.1%,11.9%,41.5%,33.8%
Queen Egbo,LVA,24,6-4,190,Baylor,USA,8,1.5,1.3,0.0,0.0,8.1%,18.9%,17.8%,46.6%,0.0%
Rachel Banham,CHI,31,5-10,181,Minnesota,USA,37,5.7,1.4,1.1,-5.9,1.1%,8.1%,16.7%,49.8%,11.7%
Rae Burrell,LAS,24,6-2,168,Tennessee,USA,37,5.9,1.8,1.1,-6.0,3.6%,8.6%,18.0%,53.1%,12.0%
Rebecca Allen,PHO,32,6-2,162,None,Australia,18,7.4,3.9,1.1,-1.0,3.1%,12.6%,14.2%,52.2%,6.5%
Rhyne Howard,ATL,24,6-2,175,Kentucky,USA,30,17.3,4.4,3.1,1.5,2.3%,10.6%,24.2%,51.0%,17.4%
Rickea Jackson,LAS,23,6-2,175,Tennessee,USA,40,13.4,3.9,1.5,-10.3,4.3%,9.4%,21.1%,54.7%,9.8%
Sabrina Ionescu,NYL,27,5-11,165,Oregon,USA,38,18.2,4.4,6.2,11.8,2.3%,11.3%,26.8%,52.5%,32.7%
Sami Whitcomb,SEA,36,5-10,149,Washington,Australia,40,5.0,1.9,1.6,3.1,2.3%,9.8%,17.3%,47.0%,16.5%
Satou Sabally,DAL,26,6-4,175,Oregon,USA,15,17.9,6.4,5.0,-4.5,3.3%,15.6%,21.8%,56.3%,22.1%
Sevgi Uzun,DAL,27,5-10,141,None,Turkey,40,4.4,1.6,3.0,-6.5,1.1%,6.8%,14.1%,41.8%,20.8%
Shakira Austin,WAS,24,6-5,190,Mississippi,USA,12,11.8,6.8,0.9,0.6,8.8%,24.9%,30.4%,48.7%,9.1%
Shatori Walker-Kimbrough,WAS,29,5-9,140,Maryland,USA,40,7.5,1.7,1.9,-3.6,1.5%,6.4%,16.3%,52.9%,14.1%
Sika Koné,WAS,22,6-3,180,None,Mali,27,4.0,2.0,0.4,6.5,7.2%,18.6%,22.9%,53.6%,10.3%
Skylar Diggins-Smith,SEA,34,5-9,140,Notre Dame,USA,40,15.1,2.6,6.4,8.2,2.2%,6.0%,23.3%,52.5%,33.2%
Sophie Cunningham,PHO,28,6-1,170,Missouri,USA,40,8.4,3.9,2.0,-1.4,1.5%,12.0%,12.3%,61.8%,11.4%
Stefanie Dolson,WAS,33,6-5,235,Connecticut,USA,39,9.5,4.9,2.6,-4.3,3.4%,16.1%,15.8%,62.1%,17.1%
Stephanie Soares,DAL,24,6-6,196,Iowa State,USA,22,1.1,2.1,0.5,-13.1,10.2%,16.0%,11.0%,34.4%,8.5%
Stephanie Talbot,LAS,30,6-2,192,None,Australia,37,3.5,2.7,2.1,-3.8,3.5%,14.8%,12.6%,47.9%,19.2%
Sug Sutton,WAS,26,5-8,140,Texas-Austin,USA,29,2.3,1.0,2.1,-6.0,1.6%,5.9%,13.3%,40.0%,25.2%
Sydney Colson,LVA,35,5-8,140,Texas A&M,USA,31,2.5,0.5,1.0,9.3,0.4%,5.7%,14.4%,55.9%,18.9%
Taylor Soule,MIN,25,5-11,188,Virginia Tech,USA,2,0.0,0.5,0.0,-166.7,0.0%,50.0%,16.7%,0.0%,0.0%
Teaira McCowan,DAL,28,6-7,239,Mississippi State,USA,39,11.7,8.1,1.6,-7.4,11.1%,21.2%,19.3%,60.7%,10.1%
Temi Fagbenle,IND,32,6-4,180,Southern California,United Kingdo,22,6.4,4.7,0.9,1.4,7.7%,17.1%,15.5%,55.4%,7.7%
Tiffany Hayes,LVA,35,5-10,155,Connecticut,USA,33,9.5,2.8,2.1,6.7,3.9%,9.2%,17.8%,60.9%,16.1%
Tiffany Mitchell,CON,30,5-9,169,South Carolina,USA,24,4.9,1.5,0.8,8.4,3.0%,6.6%,16.7%,45.7%,8.1%
Tina Charles,ATL,36,6-4,192,Connecticut,USA,39,14.9,9.6,2.3,1.3,8.0%,24.0%,24.1%,50.1%,15.2%
Tyasha Harris,CON,26,5-10,152,South Carolina,USA,39,10.5,1.8,3.0,8.4,0.9%,5.7%,16.9%,54.6%,17.4%
Veronica Burton,CON,24,5-9,155,Northwestern,USA,31,3.1,1.4,1.9,13.1,3.6%,8.1%,11.8%,54.4%,22.0%
Victaria Saxton,IND,25,6-2,181,South Carolina,USA,9,0.9,0.3,0.0,-15.3,0.0%,12.0%,22.0%,40.5%,0.0%
Victoria Vivians,SEA,30,6-1,197,Mississippi State,USA,35,3.1,2.0,0.8,5.7,3.8%,11.5%,13.7%,43.3%,9.5%
Zia Cooke,LAS,24,5-9,163,South Carolina,USA,29,3.6,0.6,0.6,-11.1,1.1%,6.3%,24.0%,41.3%,12.2%
