,,,,,,Per Game,,,,,,Shooting,,,Advanced,
Year,Player,Team,Voting,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2011,Angel McCoughtry,1st,(V),ATL,33,27.9,21.6,5.2,2.5,2.2,1,0.424,0.264,0.777,4.7,0.247
2011,Diana Taurasi,1st,(V),PHO,32,30.2,21.6,3.2,3.6,0.8,0.6,0.449,0.395,0.903,5.1,0.255
2011,Lindsay Whalen,1st,(V),MIN,34,28.1,13.6,3.5,5.9,1.1,0.1,0.511,0.405,0.73,5.7,0.287
2011,Seimone Augustus,2nd,(V),MIN,34,29.3,16.2,3.5,2.2,0.9,0.4,0.504,0.417,0.865,5.4,0.258
2011,Sue Bird,2nd,(V),SEA,34,33,14.7,2.9,4.9,1.4,0.2,0.449,0.428,0.875,5.3,0.227
2011,Sylvia Fowles,2nd,(V),CHI,34,34.6,20,10.2,0.6,1.2,2,0.591,,0.766,7.4,0.303
2011,Cappie Pondexter,2nd,(V),NYL,34,33.9,17.4,4.1,4.7,1.3,0.3,0.402,0.345,0.813,4.2,0.175
2011,Penny Taylor,2nd,(V),PHO,29,29.8,16.7,4.9,4.7,1.7,0.4,0.511,0.402,0.874,5.4,0.298
2010,Tamika Catchings,1st,(V),IND,34,31.4,18.2,7.1,4,2.3,0.9,0.484,0.448,0.849,7.9,0.355
2010,Sylvia Fowles,1st,(V),CHI,34,32,17.8,9.9,1.5,1.1,2.6,0.582,1,0.76,6.9,0.304
2010,Lauren Jackson,1st,(V),SEA,32,31,20.5,8.3,1.2,0.9,1.2,0.462,0.346,0.91,8.3,0.4
2010,Cappie Pondexter,1st,(V),NYL,34,34.3,21.4,4.5,4.9,0.9,0.1,0.483,0.43,0.892,7.3,0.302
2010,Diana Taurasi,1st,(V),PHO,31,32.2,22.6,4.3,4.7,1.2,0.6,0.427,0.374,0.912,3.8,0.185
2010,Sue Bird,2nd,(V),SEA,33,30.5,11.1,2.7,5.8,1.5,0.2,0.434,0.399,0.857,5,0.237
2010,Tina Charles,2nd,(V),CON,34,31,15.5,11.7,1.5,0.7,1.7,0.487,0,0.763,5.2,0.236
2010,Katie Douglas,2nd,(V),IND,34,29.8,13.7,3.4,3.3,1.4,0.4,0.449,0.391,0.831,4.5,0.212
2010,Crystal Langhorne,2nd,(V),WAS,34,34.1,16.3,9.7,1.1,0.9,0.2,0.589,0.167,0.772,6.5,0.269
2010,Angel McCoughtry,2nd,(V),ATL,34,30.7,21.1,4.9,3.1,1.9,0.6,0.408,0.262,0.803,4.1,0.19
2009,Tamika Catchings,1st,(V),IND,34,31.9,15.1,7.2,3.1,2.9,0.5,0.386,0.328,0.873,6.1,0.27
2009,Becky Hammon,1st,(V),SAS,31,33.8,19.5,3.3,5,1.6,0.4,0.447,0.369,0.901,4.5,0.205
2009,Lauren Jackson,1st,(V),SEA,26,32.4,19.2,7,0.8,1.5,1.7,0.463,0.43,0.797,5.9,0.334
2009,Cappie Pondexter,1st,(V),PHO,34,31.6,19.1,4.2,5,0.9,0.4,0.46,0.358,0.881,4.5,0.202
2009,Diana Taurasi,1st,(V),PHO,31,31.5,20.4,5.7,3.5,1.2,1.4,0.461,0.407,0.894,5.4,0.267
2009,Katie Douglas,2nd,(V),IND,31,32.4,17.6,3.9,2.7,1.8,0.2,0.41,0.349,0.861,4.3,0.205
2009,Lisa Leslie,2nd,(V),LAS,23,27.7,15.4,6.6,2.1,0.7,1.4,0.518,0.167,0.722,3,0.228
2009,Deanna Nolan,2nd,(V),DET,33,33.7,16.9,4.3,3.5,1.3,0.3,0.408,0.325,0.784,3.4,0.148
2009,Candace Parker,2nd,(V),LAS,25,32.6,13.1,9.8,2.6,0.6,2.1,0.485,0.208,0.763,3.8,0.223
2009,Sophia Young-Malcolm,2nd,(V),SAS,33,33.7,18.2,6.5,1.6,1.3,0.5,0.454,0.309,0.767,4.2,0.183
2008,Lisa Leslie,1st,(V),LAS,33,32.1,15.1,8.9,2.4,1.5,2.9,0.463,0.235,0.661,4.2,0.188
2008,Candace Parker,1st,(V),LAS,33,33.6,18.5,9.5,3.4,1.3,2.3,0.523,0.423,0.733,7.7,0.333
2008,Diana Taurasi,1st,(V),PHO,34,31.9,24.1,5.1,3.6,1.4,1.4,0.446,0.36,0.87,7.4,0.327
2008,Lindsay Whalen,1st,(V),CON,31,29.3,14,5.6,5.4,1.5,0,0.461,0.338,0.803,6.4,0.339
2008,Sophia Young-Malcolm,1st,(V),SAS,33,31.9,17.5,5.6,2.3,1.6,0.5,0.478,0,0.786,6.2,0.284
2008,Sue Bird,2nd,(V),SEA,33,33.7,14.1,2.5,5.1,1.2,0.1,0.441,0.343,0.871,4.2,0.18
2008,Becky Hammon,2nd,(V),SAS,33,33.4,17.6,2.8,4.9,1.3,0.2,0.39,0.35,0.937,5,0.22
2008,Lauren Jackson,2nd,(V),SEA,21,33,20.2,7,1.2,1.5,1.6,0.452,0.295,0.934,4.8,0.329
